R1_BAT,124.46,48.03,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,127.00,44.22,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,63.50,12.47,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,156.21,8.66,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,92.71,60.73,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,153.67,48.03,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,153.67,46.76,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,138.43,40.41,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,68.58,20.09,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,67.31,20.09,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,40.64,34.06,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,34.29,34.06,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,27.94,34.06,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,21.59,34.06,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,46.99,34.06,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.03,107.40,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.32,106.25,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,87.63,63.27,0.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,67.31,106.45,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,135.89,50.57,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,44.97,106.45,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,154.44,14.63,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,63.50,9.93,0.00,,SJ
TP1,74.89,100.20,0.00,TPTP20R,TP20R
TP10,128.46,6.74,0.00,TPTP20R,TP20R
TP11,123.71,6.74,0.00,TPTP20R,TP20R
TP12,119.11,6.73,0.00,TPTP20R,TP20R
TP13,41.56,9.33,0.00,TPTP20R,TP20R
TP14,47.41,9.23,0.00,TPTP20R,TP20R
TP15,36.87,9.30,0.00,TPTP20R,TP20R
TP16,44.72,13.80,0.00,TPTP20R,TP20R
TP17,38.27,14.00,0.00,TPTP20R,TP20R
TP2,80.01,100.10,0.00,TPTP20R,TP20R
TP3,84.93,100.10,0.00,TPTP20R,TP20R
TP4,75.09,95.12,0.00,TPTP20R,TP20R
TP5,79.81,95.12,0.00,TPTP20R,TP20R
TP6,85.23,95.42,0.00,TPTP20R,TP20R
TP7,134.73,59.17,0.00,TPTP20R,TP20R
TP8,138.75,59.17,0.00,TPTP20R,TP20R
TP9,143.04,59.07,0.00,TPTP20R,TP20R
U,129.54,49.30,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U1,39.37,58.19,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.70,56.92,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.09,55.65,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,140.97,50.57,0.00,MAX17048G+T10,SON50P200X200X80-9N
